current_url,new_url
https://www.clir.org/pubs/reports/rothenberg/inadequacy/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/rothenberg/criteria/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/rothenberg/research/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/rothenberg/references/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/pub78/,http://localhost:4000/archives.clir.org/reports/pub078/
https://www.clir.org/wp-content/uploads/sites/6/pub78.pdf,https://doi.org/10.5281/zenodo.7756532
https://www.clir.org/pubs/reports/pub78/,http://localhost:4000/archives.clir.org/reports/pub078/
https://www.clir.org/pubs/reports/pub78/preface/,http://localhost:4000/archives.clir.org/reports/pub078/#preface
https://www.clir.org/pubs/reports/pub78/synthesis,http://localhost:4000/archives.clir.org/reports/pub078/#synthesis-of-proceedings
https://www.clir.org/pubs/reports/pub78/summaries/,http://localhost:4000/archives.clir.org/reports/pub078/#summaries-of-task-force-meetings
https://www.clir.org/pubs/reports/pub78/area/,http://localhost:4000/archives.clir.org/reports/pub078/#area-studies-task-force
https://www.clir.org/pubs/reports/pub78/audio/,http://localhost:4000/archives.clir.org/reports/pub078/#audio-materials-task-force
https://www.clir.org/pubs/reports/pub78/manuscript/,http://localhost:4000/archives.clir.org/reports/pub078/#manuscript-materials-task-force
https://www.clir.org/pubs/reports/pub78/monographs/,http://localhost:4000/archives.clir.org/reports/pub078/#monographs-and-journals-task-force
https://www.clir.org/pubs/reports/pub78/visual/,http://localhost:4000/archives.clir.org/reports/pub078/#visual-materials-task-force
https://www.clir.org/pubs/reports/pub78/plenary/,http://localhost:4000/archives.clir.org/reports/pub078/#summary-of-plenary-meeting-of-task-forces-june-30-1998
https://www.clir.org/pubs/reports/pub78/appendixa/,http://localhost:4000/archives.clir.org/reports/pub078/#appendix-a-task-force-participants
https://www.clir.org/pubs/reports/pub78/appendixb/,http://localhost:4000/archives.clir.org/reports/pub078/#appendix-b-task-force-recommendations
https://www.clir.org/pubs/reports/pub78/appendixc/,http://localhost:4000/archives.clir.org/reports/pub078/#appendix-c-acls-clir-program-initiatives
